ligand	receptor	ligand.name	receptor.name	ligand.synonyms	receptor.synonyms	ligand.altern.names	receptor.altern.names	source	PMIDs	cells.L	cells.R	remarks
CXCL8	CXCR1	Interleukin-8	C-X-C chemokine receptor type 1	IL8	CMKAR1,IL8RA	IL-8 || C-X-C motif chemokine 8 || Chemokin || C-X-C motif) ligand 8 || Emoctakin || Granulocyte chemotactic protein 1 || GCP-1 || Monocyte-derived neutrophil chemotactic factor || MDNCF || Monocyte-derived neutrophil-activating peptide || MONAP || Neutrophil-activating protein 1 || NAP-1 || Protein 3-10C || T-cell chemotactic factor) [Cleaved into: MDNCF- || GCP/IL-8 protein IV || IL8/NAP1 form I); Interleukin- || (Ala-IL-8)77 || GCP/IL-8 protein II || IL-8(1-77) || IL8/NAP1 form II || MDNCF-b); IL-8(5-77); IL-8(6-77 || (Ser-IL-8)72 || GCP/IL-8 protein I || IL8/NAP1 form III || Lymphocyte-derived neutrophil-activating factor || LYNAP || MDNCF-c || Neutrophil-activating factor || NAF); IL-8(7-77 || GCP/IL-8 protein V || IL8/NAP1 form IV); IL-8(8-77 || GCP/IL-8 protein VI || IL8/NAP1 form V); IL-8(9-77 || GCP/IL-8 protein III || IL8/NAP1 form VI)	CXC-R1 || CXCR-1 || CDw128a || High affinity interleukin-8 receptor A || IL-8R A || IL-8 receptor type 1 || CD antigen CD181	uniprot	10699158	""	neutrophil,macrophage	""
CXCL8	CXCR2	Interleukin-8	C-X-C chemokine receptor type 2	IL8	IL8RB	IL-8 || C-X-C motif chemokine 8 || Chemokin || C-X-C motif) ligand 8 || Emoctakin || Granulocyte chemotactic protein 1 || GCP-1 || Monocyte-derived neutrophil chemotactic factor || MDNCF || Monocyte-derived neutrophil-activating peptide || MONAP || Neutrophil-activating protein 1 || NAP-1 || Protein 3-10C || T-cell chemotactic factor) [Cleaved into: MDNCF- || GCP/IL-8 protein IV || IL8/NAP1 form I); Interleukin- || (Ala-IL-8)77 || GCP/IL-8 protein II || IL-8(1-77) || IL8/NAP1 form II || MDNCF-b); IL-8(5-77); IL-8(6-77 || (Ser-IL-8)72 || GCP/IL-8 protein I || IL8/NAP1 form III || Lymphocyte-derived neutrophil-activating factor || LYNAP || MDNCF-c || Neutrophil-activating factor || NAF); IL-8(7-77 || GCP/IL-8 protein V || IL8/NAP1 form IV); IL-8(8-77 || GCP/IL-8 protein VI || IL8/NAP1 form V); IL-8(9-77 || GCP/IL-8 protein III || IL8/NAP1 form VI)	CXC-R2 || CXCR-2 || CDw128b || GRO/MGSA receptor || High affinity interleukin-8 receptor B || IL-8R B || IL-8 receptor type 2 || CD antigen CD182	literature	10699158	""	neutrophil,macrophage,eosinophil	""
CXCL8	GRM7	Interleukin-8	Metabotropic glutamate receptor 7	IL8	GPRC1G,MGLUR7	IL-8 || C-X-C motif chemokine 8 || Chemokin || C-X-C motif) ligand 8 || Emoctakin || Granulocyte chemotactic protein 1 || GCP-1 || Monocyte-derived neutrophil chemotactic factor || MDNCF || Monocyte-derived neutrophil-activating peptide || MONAP || Neutrophil-activating protein 1 || NAP-1 || Protein 3-10C || T-cell chemotactic factor) [Cleaved into: MDNCF- || GCP/IL-8 protein IV || IL8/NAP1 form I); Interleukin- || (Ala-IL-8)77 || GCP/IL-8 protein II || IL-8(1-77) || IL8/NAP1 form II || MDNCF-b); IL-8(5-77); IL-8(6-77 || (Ser-IL-8)72 || GCP/IL-8 protein I || IL8/NAP1 form III || Lymphocyte-derived neutrophil-activating factor || LYNAP || MDNCF-c || Neutrophil-activating factor || NAF); IL-8(7-77 || GCP/IL-8 protein V || IL8/NAP1 form IV); IL-8(8-77 || GCP/IL-8 protein VI || IL8/NAP1 form V); IL-8(9-77 || GCP/IL-8 protein III || IL8/NAP1 form VI)	mGluR7	reactome	""	""	""	""
CXCL8	MTNR1A	Interleukin-8	Melatonin receptor type 1A	IL8	""	IL-8 || C-X-C motif chemokine 8 || Chemokin || C-X-C motif) ligand 8 || Emoctakin || Granulocyte chemotactic protein 1 || GCP-1 || Monocyte-derived neutrophil chemotactic factor || MDNCF || Monocyte-derived neutrophil-activating peptide || MONAP || Neutrophil-activating protein 1 || NAP-1 || Protein 3-10C || T-cell chemotactic factor) [Cleaved into: MDNCF- || GCP/IL-8 protein IV || IL8/NAP1 form I); Interleukin- || (Ala-IL-8)77 || GCP/IL-8 protein II || IL-8(1-77) || IL8/NAP1 form II || MDNCF-b); IL-8(5-77); IL-8(6-77 || (Ser-IL-8)72 || GCP/IL-8 protein I || IL8/NAP1 form III || Lymphocyte-derived neutrophil-activating factor || LYNAP || MDNCF-c || Neutrophil-activating factor || NAF); IL-8(7-77 || GCP/IL-8 protein V || IL8/NAP1 form IV); IL-8(8-77 || GCP/IL-8 protein VI || IL8/NAP1 form V); IL-8(9-77 || GCP/IL-8 protein III || IL8/NAP1 form VI)	Mel-1A-R || Mel1a receptor	reactome	""	""	""	""
CXCL9	ADRA2A	C-X-C motif chemokine 9	Alpha-2A adrenergic receptor	CMK,MIG,SCYB9	ADRA2R,ADRAR	Gamma-interferon-induced monokine || Monokine induced by interferon-gamma || HuMIG || MIG || Small-inducible cytokine B9	Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR	reactome	""	""	""	""
CXCL9	CCR3	C-X-C motif chemokine 9	C-C chemokine receptor type 3	CMK,MIG,SCYB9	CMKBR3	Gamma-interferon-induced monokine || Monokine induced by interferon-gamma || HuMIG || MIG || Small-inducible cytokine B9	C-C CKR-3 || CC-CKR-3 || CCR-3 || CCR3 || CKR3 || Eosinophil eotaxin receptor || CD antigen CD193	HPRD,IUPHAR,fantom5	11110785	""	""	""
CXCL9	CXCR3	C-X-C motif chemokine 9	C-X-C chemokine receptor type 3	CMK,MIG,SCYB9	GPR9	Gamma-interferon-induced monokine || Monokine induced by interferon-gamma || HuMIG || MIG || Small-inducible cytokine B9	CXC-R3 || CXCR-3 || CKR-L2 || G protein-coupled receptor 9 || Interferon-inducible protein 10 receptor || IP-10 receptor || CD antigen CD183	fantom5,literature,IUPHAR,uniprot,HPMR,HPRD	10699158	""	B lymphocyte,T lymphocyte	""
CXCL9	GRM7	C-X-C motif chemokine 9	Metabotropic glutamate receptor 7	CMK,MIG,SCYB9	GPRC1G,MGLUR7	Gamma-interferon-induced monokine || Monokine induced by interferon-gamma || HuMIG || MIG || Small-inducible cytokine B9	mGluR7	reactome	""	""	""	""
CXCL9	MTNR1A	C-X-C motif chemokine 9	Melatonin receptor type 1A	CMK,MIG,SCYB9	""	Gamma-interferon-induced monokine || Monokine induced by interferon-gamma || HuMIG || MIG || Small-inducible cytokine B9	Mel-1A-R || Mel1a receptor	reactome	""	""	""	""
CYR61	CAV1	Protein CYR61	Caveolin-1	CCN1,GIG1,IGFBP10	CAV	CCN family member 1 || Cysteine-rich angiogenic inducer 61 || Insulin-like growth factor-binding protein 10 || IBP-10 || IGF-binding protein 10 || IGFBP-10 || Protein GIG1	""	fantom5	""	""	""	""
CYR61	ITGA5	Protein CYR61	Integrin alpha-5	CCN1,GIG1,IGFBP10	FNRA	CCN family member 1 || Cysteine-rich angiogenic inducer 61 || Insulin-like growth factor-binding protein 10 || IBP-10 || IGF-binding protein 10 || IGFBP-10 || Protein GIG1	CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain	HPMR,fantom5	9446626	""	""	""
CYR61	ITGAM	Protein CYR61	Integrin alpha-M	CCN1,GIG1,IGFBP10	CD11B,CR3A	CCN family member 1 || Cysteine-rich angiogenic inducer 61 || Insulin-like growth factor-binding protein 10 || IBP-10 || IGF-binding protein 10 || IGFBP-10 || Protein GIG1	CD11 antigen-like family member B || CR-3 alpha chain || Cell surface glycoprotein MAC-1 subunit alpha || Leukocyte adhesion receptor MO1 || Neutrophil adherence receptor || CD antigen CD11b	HPMR,fantom5	12036876	""	""	""
CYR61	ITGAV	Protein CYR61	Integrin alpha-V	CCN1,GIG1,IGFBP10	MSK8,VNRA,VTNR	CCN family member 1 || Cysteine-rich angiogenic inducer 61 || Insulin-like growth factor-binding protein 10 || IBP-10 || IGF-binding protein 10 || IGFBP-10 || Protein GIG1	Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain	HPRD,fantom5	10821835,11	""	""	""
CYR61	ITGB2	Protein CYR61	Integrin beta-2	CCN1,GIG1,IGFBP10	CD18,MFI7	CCN family member 1 || Cysteine-rich angiogenic inducer 61 || Insulin-like growth factor-binding protein 10 || IBP-10 || IGF-binding protein 10 || IGFBP-10 || Protein GIG1	Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta || Complement receptor C3 subunit beta || CD antigen CD18	fantom5,HPMR	12036876	""	""	""
CYR61	ITGB3	Protein CYR61	Integrin beta-3	CCN1,GIG1,IGFBP10	GP3A	CCN family member 1 || Cysteine-rich angiogenic inducer 61 || Insulin-like growth factor-binding protein 10 || IBP-10 || IGF-binding protein 10 || IGFBP-10 || Protein GIG1	Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61	HPMR,fantom5	9446626	""	""	""
CYR61	ITGB5	Protein CYR61	Integrin beta-5	CCN1,GIG1,IGFBP10	""	CCN family member 1 || Cysteine-rich angiogenic inducer 61 || Insulin-like growth factor-binding protein 10 || IBP-10 || IGF-binding protein 10 || IGFBP-10 || Protein GIG1	""	fantom5,HPRD	11287419	""	""	""
DCN	EGFR	Decorin	Epidermal growth factor receptor	SLRR1B	ERBB,ERBB1,HER1	Bone proteoglycan II || PG-S2 || PG40	EC 2.7.10.1 || Proto-oncogene c-ErbB-1 || Receptor tyrosine-protein kinase erbB-1	fantom5,HPRD	12105207	""	""	""
DCN	ERBB4	Decorin	Receptor tyrosine-protein kinase erbB-4	SLRR1B	HER4	Bone proteoglycan II || PG-S2 || PG40	EC 2.7.10.1 || Proto-oncogene-like protein c-ErbB-4 || Tyrosine kinase-type cell surface receptor HER4 || p180erbB4) [Cleaved into: ERBB4 intracellular domai || 4ICD || E4ICD || s80HER4)	fantom5	10942781	""	""	""
DCN	MET	Decorin	Hepatocyte growth factor receptor	SLRR1B	""	Bone proteoglycan II || PG-S2 || PG40	HGF receptor || EC 2.7.10.1 || HGF/SF receptor || Proto-oncogene c-Met || Scatter factor receptor || SF receptor || Tyrosine-protein kinase Met	fantom5	10942781	""	""	""
DEFB103A	CCR2	Beta-defensin 103	C-C chemokine receptor type 2	BD3,DEFB103,DEFB3;,DEFB103B	CMKBR2	Beta-defensin 3 || BD-3 || DEFB-3 || HBD3 || hBD-3 || Defensin, beta 103 || Defensin-like protein	C-C CKR-2 || CC-CKR-2 || CCR-2 || CCR2 || Monocyte chemoattractant protein 1 receptor || MCP-1-R || CD antigen CD192	fantom5	23390582	""	""	""
DEFB103A	CCR6	Beta-defensin 103	C-C chemokine receptor type 6	BD3,DEFB103,DEFB3;,DEFB103B	CKRL3,CMKBR6,GPR29,STRL22	Beta-defensin 3 || BD-3 || DEFB-3 || HBD3 || hBD-3 || Defensin, beta 103 || Defensin-like protein	C-C CKR-6 || CC-CKR-6 || CCR-6 || Chemokine receptor-like 3 || CKR-L3 || DRY6 || G-protein coupled receptor 29 || GPR-CY4 || GPRCY4 || LARC receptor || CD antigen CD196	HPRD,fantom5	23390582	""	""	""
DEFB106A	CCR2	Beta-defensin 106	C-C chemokine receptor type 2	BD6,DEFB106,DEFB6;,DEFB106B	CMKBR2	Beta-defensin 6 || BD-6 || DEFB-6 || Defensin, beta 106	C-C CKR-2 || CC-CKR-2 || CCR-2 || CCR2 || Monocyte chemoattractant protein 1 receptor || MCP-1-R || CD antigen CD192	literature	23938203	""	neutrophil,T lymphocyte,NK cell,macrophage,B lymphocyte	""
DEFB1	CCR6	Beta-defensin 1	C-C chemokine receptor type 6	BD1,HBD1	CKRL3,CMKBR6,GPR29,STRL22	BD-1 || hBD-1 || Defensin, beta 1	C-C CKR-6 || CC-CKR-6 || CCR-6 || Chemokine receptor-like 3 || CKR-L3 || DRY6 || G-protein coupled receptor 29 || GPR-CY4 || GPRCY4 || LARC receptor || CD antigen CD196	HPRD,literature,fantom5	25585877,20068036,25122636	""	B lymphocyte,immature DC,CD34+ cell,T lymphocyte	""
DEFB4A	CCR6	Beta-defensin 4A	C-C chemokine receptor type 6	DEFB102,DEFB2,DEFB4;,DEFB4B	CKRL3,CMKBR6,GPR29,STRL22	Beta-defensin 2 || BD-2 || hBD-2 || Defensin, beta 2 || Skin-antimicrobial peptide 1 || SAP1	C-C CKR-6 || CC-CKR-6 || CCR-6 || Chemokine receptor-like 3 || CKR-L3 || DRY6 || G-protein coupled receptor 29 || GPR-CY4 || GPRCY4 || LARC receptor || CD antigen CD196	fantom5,IUPHAR,literature,HPRD	20068036,25122636,25585877	""	B lymphocyte,immature DC,CD34+ cell,T lymphocyte	""
DEFB4A	TLR4	Beta-defensin 4A	Toll-like receptor 4	DEFB102,DEFB2,DEFB4;,DEFB4B	""	Beta-defensin 2 || BD-2 || hBD-2 || Defensin, beta 2 || Skin-antimicrobial peptide 1 || SAP1	hToll || CD antigen CD284	HPRD,fantom5	12411706	""	""	""
DHH	BOC	Desert hedgehog protein	Brother of CDO	""	UNQ604/PRO1190	DHH || HHG-3) [Cleaved into: Desert hedgehog protein N-product; Desert hedgehog protein C-product	Protein BOC	fantom5	20519495	""	""	""
DHH	CDON	Desert hedgehog protein	Cell adhesion molecule-related/down-regulated by oncogenes	""	CDO	DHH || HHG-3) [Cleaved into: Desert hedgehog protein N-product; Desert hedgehog protein C-product	""	fantom5	20519495	""	""	""
DHH	HHIP	Desert hedgehog protein	Hedgehog-interacting protein	""	HIP,UNQ5825/PRO19644	DHH || HHG-3) [Cleaved into: Desert hedgehog protein N-product; Desert hedgehog protein C-product	HHIP || HIP	HPRD,HPMR,fantom5	10050855,11	""	""	""
DHH	PTCH1	Desert hedgehog protein	Protein patched homolog 1	""	PTCH	DHH || HHG-3) [Cleaved into: Desert hedgehog protein N-product; Desert hedgehog protein C-product	PTC || PTC1	HPRD,fantom5	9811851	""	""	""
DHH	PTCH2	Desert hedgehog protein	Protein patched homolog 2	""	UNQ560/PRO1121/PRO57079	DHH || HHG-3) [Cleaved into: Desert hedgehog protein N-product; Desert hedgehog protein C-product	PTC2	fantom5,HPMR,HPRD	9811851	""	""	""
DKK1	KREMEN1	Dickkopf-related protein 1	Kremen protein 1	UNQ492/PRO1008	KREMEN,KRM1	Dickkopf-1 || Dkk-1 || hDkk-1 || SK	Dickkopf receptor || Kringle domain-containing transmembrane protein 1 || Kringle-containing protein marking the eye and the nose	fantom5,HPMR,HPRD	12050670	""	""	""
DKK1	KREMEN2	Dickkopf-related protein 1	Kremen protein 2	UNQ492/PRO1008	KRM2	Dickkopf-1 || Dkk-1 || hDkk-1 || SK	Dickkopf receptor 2 || Kringle domain-containing transmembrane protein 2 || Kringle-containing protein marking the eye and the nose	fantom5,HPMR	12050670	""	""	""
DKK1	LRP5	Dickkopf-related protein 1	Low-density lipoprotein receptor-related protein 5	UNQ492/PRO1008	LR3,LRP7	Dickkopf-1 || Dkk-1 || hDkk-1 || SK	LRP-5	fantom5,HPRD	11516963	""	""	""
DKK1	LRP6	Dickkopf-related protein 1	Low-density lipoprotein receptor-related protein 6	UNQ492/PRO1008	""	Dickkopf-1 || Dkk-1 || hDkk-1 || SK	LRP-6	HPMR,fantom5,HPRD	11357136,11	""	""	""
DKK2	KREMEN2	Dickkopf-related protein 2	Kremen protein 2	UNQ682/PRO1316	KRM2	Dickkopf-2 || Dkk-2 || hDkk-2	Dickkopf receptor 2 || Kringle domain-containing transmembrane protein 2 || Kringle-containing protein marking the eye and the nose	fantom5	12527209	""	""	""
DKK2	LRP6	Dickkopf-related protein 2	Low-density lipoprotein receptor-related protein 6	UNQ682/PRO1316	""	Dickkopf-2 || Dkk-2 || hDkk-2	LRP-6	HPRD,HPMR,fantom5	11357136,11742004,11357136	""	""	""
DLK2	NOTCH1	Protein delta homolog 2	Neurogenic locus notch homolog protein 1	EGFL9,UNQ2903/PRO28633	TAN1	DLK-2 || Epidermal growth factor-like protein 9 || EGF-like protein 9	Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD)	fantom5	21419176	""	""	""
DLL1	NOTCH1	Delta-like protein 1	Neurogenic locus notch homolog protein 1	UNQ146/PRO172	TAN1	Drosophila Delta homolog 1 || Delta1 || H-Delta-1	Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD)	HPMR,uniprot,fantom5,HPRD	9819428,11	""	""	""
DLL1	NOTCH2	Delta-like protein 1	Neurogenic locus notch homolog protein 2	UNQ146/PRO172	""	Drosophila Delta homolog 1 || Delta1 || H-Delta-1	Notch 2 || hN2) [Cleaved into: Notch 2 extracellular truncatio || N2ECD); Notch 2 intracellular domai || N2ICD)	HPRD,uniprot,fantom5	10958687	""	""	""
DLL1	NOTCH3	Delta-like protein 1	Neurogenic locus notch homolog protein 3	UNQ146/PRO172	""	Drosophila Delta homolog 1 || Delta1 || H-Delta-1	Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain	fantom5,uniprot,HPRD	12482954,11	""	""	""
DLL1	NOTCH4	Delta-like protein 1	Neurogenic locus notch homolog protein 4	UNQ146/PRO172	INT3	Drosophila Delta homolog 1 || Delta1 || H-Delta-1	Notch 4 || hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain	uniprot	""	""	""	""
DLL4	NOTCH1	Delta-like protein 4	Neurogenic locus notch homolog protein 1	UNQ1895/PRO4341	TAN1	Drosophila Delta homolog 4 || Delta4	Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD)	HPRD,HPMR,uniprot,fantom5	16219802,10837024,11739188	""	""	""
DLL4	NOTCH4	Delta-like protein 4	Neurogenic locus notch homolog protein 4	UNQ1895/PRO4341	INT3	Drosophila Delta homolog 4 || Delta4	Notch 4 || hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain	HPRD,uniprot,fantom5,HPMR	16219802,13	""	""	""
DMP1	ITGB3	Dentin matrix acidic phosphoprotein 1	Integrin beta-3	""	GP3A	DMP-1 || Dentin matrix protein 1	Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61	reactome	""	""	""	""
DSCAM	DCC	Down syndrome cell adhesion molecule	Netrin receptor DCC	""	IGDCC1	CHD2	Colorectal cancer suppressor || Immunoglobulin superfamily DCC subclass member 1 || Tumor suppressor protein DCC	fantom5	""	""	""	""
DSPP	ITGB1	Dentin sialophosphoprotein [Cleaved into: Dentin phosphoprotein	Integrin beta-1	""	FNRB,MDF2,MSK12	Dentin phosphophoryn || DPP); Dentin sialoprotei || DSP)	Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29	reactome	""	""	""	""
DUSP18	CD151	Dual specificity protein phosphatase 18	CD151 antigen	LMWDSP20	TSPAN24	EC 3.1.3.16 || EC 3.1.3.48 || Low molecular weight dual specificity phosphatase 20 || LMW-DSP20	GP27 || Membrane glycoprotein SFA-1 || Platelet-endothelial tetraspan antigen 3 || PETA-3 || Tetraspanin-24 || Tspan-24 || CD antigen CD151	fantom5,HPMR	""	""	""	""
DUSP18	ITGA1	Dual specificity protein phosphatase 18	Integrin alpha-1	LMWDSP20	""	EC 3.1.3.16 || EC 3.1.3.48 || Low molecular weight dual specificity phosphatase 20 || LMW-DSP20	CD49 antigen-like family member A || Laminin and collagen receptor || VLA-1 || CD antigen CD49a	fantom5,HPMR	""	""	""	""
DUSP18	ITGA2	Dual specificity protein phosphatase 18	Integrin alpha-2	LMWDSP20	CD49B	EC 3.1.3.16 || EC 3.1.3.48 || Low molecular weight dual specificity phosphatase 20 || LMW-DSP20	CD49 antigen-like family member B || Collagen receptor || Platelet membrane glycoprotein Ia || GPIa || VLA-2 subunit alpha || CD antigen CD49b	fantom5,HPMR	""	""	""	""
DUSP18	ITGA3	Dual specificity protein phosphatase 18	Integrin alpha-3	LMWDSP20	MSK18	EC 3.1.3.16 || EC 3.1.3.48 || Low molecular weight dual specificity phosphatase 20 || LMW-DSP20	CD49 antigen-like family member C || FRP-2 || Galactoprotein B3 || GAPB3 || VLA-3 subunit alpha || CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain	HPMR,fantom5	""	""	""	""
DUSP18	ITGA6	Dual specificity protein phosphatase 18	Integrin alpha-6	LMWDSP20	""	EC 3.1.3.16 || EC 3.1.3.48 || Low molecular weight dual specificity phosphatase 20 || LMW-DSP20	CD49 antigen-like family member F || VLA-6 || CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha- || Alpha6p)	fantom5,HPMR	""	""	""	""
DUSP18	ITGA7	Dual specificity protein phosphatase 18	Integrin alpha-7 [Cleaved into: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain; Integrin alpha-7 70 kDa form]	LMWDSP20	UNQ406/PRO768	EC 3.1.3.16 || EC 3.1.3.48 || Low molecular weight dual specificity phosphatase 20 || LMW-DSP20	""	fantom5,HPMR	""	""	""	""
DUSP18	ITGB1	Dual specificity protein phosphatase 18	Integrin beta-1	LMWDSP20	FNRB,MDF2,MSK12	EC 3.1.3.16 || EC 3.1.3.48 || Low molecular weight dual specificity phosphatase 20 || LMW-DSP20	Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29	HPMR,fantom5	""	""	""	""
DUSP18	ITGB4	Dual specificity protein phosphatase 18	Integrin beta-4	LMWDSP20	""	EC 3.1.3.16 || EC 3.1.3.48 || Low molecular weight dual specificity phosphatase 20 || LMW-DSP20	GP150 || CD antigen CD104	fantom5,HPMR	""	""	""	""
DUSP18	RPSA	Dual specificity protein phosphatase 18	40S ribosomal protein SA	LMWDSP20	LAMBR,LAMR1	EC 3.1.3.16 || EC 3.1.3.48 || Low molecular weight dual specificity phosphatase 20 || LMW-DSP20	37 kDa laminin receptor precursor || 37LRP || 37/67 kDa laminin receptor || LRP/LR || 67 kDa laminin receptor || 67LR || Colon carcinoma laminin-binding protein || Laminin receptor 1 || LamR || Laminin-binding protein precursor p40 || LBP/p40 || Multidrug resistance-associated protein MGr1-Ag || NEM/1CHD4 || Small ribosomal subunit protein uS2	HPMR,fantom5	""	""	""	""
EBI3	IL27RA	Interleukin-27 subunit beta	Interleukin-27 receptor subunit alpha	IL27B	CRL1,TCCR,WSX1,UNQ296/PRO336	IL-27 subunit beta || IL-27B || Epstein-Barr virus-induced gene 3 protein || EBV-induced gene 3 protein	IL-27 receptor subunit alpha || IL-27R subunit alpha || IL-27R-alpha || IL-27RA || Cytokine receptor WSX-1 || Cytokine receptor-like 1 || Type I T-cell cytokine receptor || TCCR || ZcytoR1	fantom5,uniprot,HPRD	12121660	""	""	""
EBI3	IL6ST	Interleukin-27 subunit beta	Interleukin-6 receptor subunit beta	IL27B	""	IL-27 subunit beta || IL-27B || Epstein-Barr virus-induced gene 3 protein || EBV-induced gene 3 protein	IL-6 receptor subunit beta || IL-6R subunit beta || IL-6R-beta || IL-6RB || CDw130 || Interleukin-6 signal transducer || Membrane glycoprotein 130 || gp130 || Oncostatin-M receptor subunit alpha || CD antigen CD130	fantom5	""	""	""	""
ECM1	CACHD1	Extracellular matrix protein 1	VWFA and cache domain-containing protein 1	""	KIAA1573,VWCD1	Secretory component p85	Cache domain-containing protein 1	fantom5	""	""	""	""
EDA	EDA2R	Ectodysplasin-A	Tumor necrosis factor receptor superfamily member 27	ED1,EDA2	TNFRSF27,XEDAR,UNQ2448/PRO5727/PRO34080	Ectodermal dysplasia protein || EDA protein) [Cleaved into: Ectodysplasin-A, membrane form; Ectodysplasin-A, secreted form	X-linked ectodysplasin-A2 receptor || EDA-A2 receptor	fantom5,uniprot,IUPHAR,HPMR,HPRD	12084975,11039935,12270937	""	""	""
EDA	EDAR	Ectodysplasin-A	Tumor necrosis factor receptor superfamily member EDAR	ED1,EDA2	DL	Ectodermal dysplasia protein || EDA protein) [Cleaved into: Ectodysplasin-A, membrane form; Ectodysplasin-A, secreted form	Anhidrotic ectodysplasin receptor 1 || Downless homolog || EDA-A1 receptor || Ectodermal dysplasia receptor || Ectodysplasin-A receptor	HPRD,fantom5,IUPHAR,uniprot,HPMR	12084975,11039935,11309369	""	""	""
EDIL3	ITGAV	EGF-like repeat and discoidin I-like domain-containing protein 3	Integrin alpha-V	DEL1	MSK8,VNRA,VTNR	Developmentally-regulated endothelial cell locus 1 protein || Integrin-binding protein DEL1	Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain	fantom5,HPRD	11959660	""	""	""
EDIL3	ITGB5	EGF-like repeat and discoidin I-like domain-containing protein 3	Integrin beta-5	DEL1	""	Developmentally-regulated endothelial cell locus 1 protein || Integrin-binding protein DEL1	""	fantom5	""	""	""	""
EDN1	EDNRA	Endothelin-1	Endothelin-1 receptor	""	ETA,ETRA	Preproendothelin-1 || PPET1) [Cleaved into: Endothelin- || ET-1); Big endothelin-1	Endothelin receptor type A || ET-A || ETA-R || hET-AR	HPRD,fantom5,IUPHAR,HPMR	9082970,7647976,10770212	""	""	""
EDN1	EDNRB	Endothelin-1	Endothelin receptor type B	""	ETRB	Preproendothelin-1 || PPET1) [Cleaved into: Endothelin- || ET-1); Big endothelin-1	ET-B || ET-BR || Endothelin receptor non-selective type	HPRD,fantom5	12972292	""	""	""
EDN1	ADGRL4	Endothelin-1	Alternative protein ELTD1	""	""	Preproendothelin-1 || PPET1) [Cleaved into: Endothelin- || ET-1); Big endothelin-1	""	fantom5	""	""	""	""
EDN1	KEL	Endothelin-1	Kell blood group glycoprotein	""	""	Preproendothelin-1 || PPET1) [Cleaved into: Endothelin- || ET-1); Big endothelin-1	EC 3.4.24.- || CD antigen CD238	fantom5,HPRD	10438732	""	""	""
EDN2	EDNRA	Endothelin-2	Endothelin-1 receptor	""	ETA,ETRA	ET-2 || Preproendothelin-2 || PPET2	Endothelin receptor type A || ET-A || ETA-R || hET-AR	HPMR,fantom5,IUPHAR	2175397,9082970,7647976	""	""	""
EDN2	EDNRB	Endothelin-2	Endothelin receptor type B	""	ETRB	ET-2 || Preproendothelin-2 || PPET2	ET-B || ET-BR || Endothelin receptor non-selective type	fantom5	14659083	""	""	""
EDN2	KEL	Endothelin-2	Kell blood group glycoprotein	""	""	ET-2 || Preproendothelin-2 || PPET2	EC 3.4.24.- || CD antigen CD238	fantom5,HPRD	10438732	""	""	""
EDN3	EDNRA	Endothelin-3	Endothelin-1 receptor	""	ETA,ETRA	ET-3 || Preproendothelin-3 || PPET3	Endothelin receptor type A || ET-A || ETA-R || hET-AR	HPRD,fantom5	11982704	""	""	""
EDN3	EDNRB	Endothelin-3	Endothelin receptor type B	""	ETRB	ET-3 || Preproendothelin-3 || PPET3	ET-B || ET-BR || Endothelin receptor non-selective type	HPMR,IUPHAR,fantom5,HPRD	8001160,8086489,7524189,8460684,8904635,11982704	""	""	""
EDN3	KEL	Endothelin-3	Kell blood group glycoprotein	""	""	ET-3 || Preproendothelin-3 || PPET3	EC 3.4.24.- || CD antigen CD238	fantom5,HPRD	10438732	""	""	""
